#Parameters = {d=0; H=1.6; IL=10.7; IW=0.2; L=37.93; LS=75.85; ML=14.31; MT=0.035; MW=2.5; W=28.61; WS=57.23; k=6.26}
#"Frequency / GHz"	"S2,1 (d=0) [Magnitude / dB]"
#-----------------------------------------------
1.0000000000000	-58.901417600555
1.0039999485016	-58.733747501972
1.0080000162125	-58.575739405236
1.0119999647141	-58.431564769907
1.0160000324249	-58.304651003599
1.0199999809265	-58.197781084658
1.0240000486374	-58.113202429822
1.0279999971390	-58.052720498341
1.0319999456406	-58.017788125490
1.0360000133514	-58.009578567184
1.0399999618530	-58.029037019761
1.0440000295639	-58.076933685856
1.0479999780655	-58.153885521610
1.0520000457764	-58.260373297711
1.0559999942780	-58.396746756288
1.0599999427795	-58.563200489903
1.0640000104904	-58.759753256292
1.0679999589920	-58.986170204768
1.0720000267029	-59.241890035449
1.0759999752045	-59.525889864704
1.0800000429153	-59.836510760098
1.0839999914169	-60.171229547639
1.0880000591278	-60.526358192084
1.0920000076294	-60.896685439256
1.0959999561310	-61.275086152101
1.1000000238419	-61.652131012563
1.1039999723434	-62.015870247124
1.1080000400543	-62.351931509130
1.1119999885559	-62.644199410762
1.1160000562668	-62.876274358237
1.1200000047684	-63.033667913217
1.1239999532700	-63.106337641705
1.1280000209808	-63.090772835419
1.1319999694824	-62.990795331042
1.1360000371933	-62.816744383062
1.1399999856949	-62.583396841699
1.1440000534058	-62.307425606541
1.1480000019073	-62.005209508869
1.1519999504089	-61.691390735452
1.1560000181198	-61.378185906287
1.1599999666214	-61.075303729802
1.1640000343323	-60.790168802868
1.1679999828339	-60.528308779998
1.1720000505447	-60.293759168629
1.1759999990463	-60.089423788322
1.1799999475479	-59.917382074490
1.1840000152588	-59.779137294714
1.1879999637604	-59.675792094519
1.1920000314713	-59.608200645212
1.1959999799728	-59.577066377172
1.2000000476837	-59.583029837343
1.2039999961853	-59.626714041909
1.2079999446869	-59.708774721141
1.2120000123978	-59.829920422048
1.2159999608994	-59.990931324206
1.2200000286102	-60.192647877077
1.2239999771118	-60.435957443141
1.2280000448227	-60.721738896902
1.2319999933243	-61.050774407363
1.2359999418259	-61.423589896437
1.2400000095367	-61.840210246519
1.2439999580383	-62.299758989275
1.2480000257492	-62.799833670880
1.2519999742508	-63.335575823095
1.2560000419617	-63.898310234772
1.2599999904633	-64.473741300449
1.2640000581741	-65.039871492201
1.2680000066757	-65.565348767401
1.2719999551773	-66.009848264656
1.2760000228882	-66.328702397402
1.2799999713898	-66.483022472107
1.2840000391006	-66.452428441054
1.2879999876022	-66.243126185699
1.2920000553131	-65.885404974405
1.2960000038147	-65.422477739935
1.2999999523163	-64.898213564460
1.3040000200272	-64.349422183427
1.3079999685287	-63.803385058151
1.3120000362396	-63.278640043505
1.3159999847412	-62.786963083416
1.3200000524521	-62.335378091563
1.3240000009537	-61.927777172455
1.3279999494553	-61.566076642858
1.3320000171661	-61.251015874325
1.3359999656677	-60.982673325018
1.3400000333786	-60.760803032669
1.3439999818802	-60.585058192147
1.3480000495911	-60.455128976186
1.3519999980927	-60.370840400992
1.3559999465942	-60.332211222788
1.3600000143051	-60.339512936753
1.3639999628067	-60.393303252715
1.3680000305176	-60.494475324494
1.3719999790192	-60.644294168160
1.3760000467300	-60.844441480068
1.3799999952316	-61.097083740852
1.3839999437332	-61.404917316543
1.3880000114441	-61.771253618320
1.3919999599457	-62.200084506175
1.3960000276566	-62.696132673490
1.3999999761581	-63.264859167571
1.4040000438690	-63.912333007678
1.4079999923706	-64.644795883607
1.4119999408722	-65.467526638750
1.4160000085831	-66.382230914626
1.4199999570847	-67.381293931073
1.4240000247955	-68.435993852654
1.4279999732971	-69.475430134351
1.4320000410080	-70.360463627171
1.4359999895096	-70.886991180303
1.4400000572205	-70.880369216333
1.4440000057220	-70.339206321080
1.4479999542236	-69.436762803876
1.4520000219345	-68.377762135917
1.4559999704361	-67.302527416312
1.4600000381470	-66.282862107253
1.4639999866486	-65.348026080819
1.4680000543594	-64.505964303371
1.4720000028610	-63.755185066319
1.4759999513626	-63.090575968761
1.4800000190735	-62.506054933405
1.4839999675751	-61.995711131961
1.4880000352859	-61.554261122360
1.4919999837875	-61.177186031306
1.4960000514984	-60.860735350674
1.5000000000000	-60.601891356698
1.5039999485016	-60.398306410998
1.5080000162125	-60.248255300861
1.5119999647141	-60.150598583753
1.5160000324249	-60.104755483254
1.5199999809265	-60.110705006835
1.5240000486374	-60.168996174377
1.5279999971390	-60.280783962856
1.5319999456406	-60.447901355881
1.5360000133514	-60.672950567036
1.5399999618530	-60.959454926717
1.5440000295639	-61.312057692695
1.5479999780655	-61.736825893145
1.5520000457764	-62.241675753372
1.5559999942780	-62.837008201684
1.5599999427795	-63.536664205253
1.5640000104904	-64.359409219523
1.5679999589920	-65.331344008149
1.5720000267029	-66.489973683277
1.5759999752045	-67.891448166898
1.5800000429153	-69.624172453799
1.5839999914169	-71.835213367498
1.5880000591278	-74.775023999830
1.5920000076294	-78.727304563757
1.5959999561310	-81.793535210987
1.6000000238419	-78.725636946070
1.6039999723434	-74.693824826940
1.6080000400543	-71.675037660005
1.6119999885559	-69.389772317935
1.6160000562668	-67.585799906691
1.6200000047684	-66.114937738723
1.6239999532700	-64.888193142829
1.6280000209808	-63.849095473362
1.6319999694824	-62.959959055619
1.6360000371933	-62.194579970057
1.6399999856949	-61.534130020909
1.6440000534058	-60.964733869716
1.6480000019073	-60.475976032510
1.6519999504089	-60.059936259190
1.6560000181198	-59.710562652868
1.6599999666214	-59.423237409696
1.6640000343323	-59.194487603584
1.6679999828339	-59.021781123505
1.6720000505447	-58.903395041872
1.6759999990463	-58.838318996708
1.6799999475479	-58.826209577891
1.6840000152588	-58.867379157848
1.6879999637604	-58.962796526567
1.6920000314713	-59.114144580051
1.6959999799728	-59.323895349589
1.7000000476837	-59.595432410023
1.7039999961853	-59.933239023779
1.7079999446869	-60.343149860935
1.7120000123978	-60.832715974182
1.7159999608994	-61.411720073180
1.7200000286102	-62.092899462932
1.7239999771118	-62.892986120665
1.7280000448227	-63.834138055923
1.7319999933243	-64.945795944939
1.7359999418259	-66.266439226549
1.7400000095367	-67.842245235806
1.7439999580383	-69.708769038948
1.7480000257492	-71.796850722098
1.7519999742508	-73.596806136359
1.7560000419617	-73.868746315895
1.7599999904633	-72.282198810397
1.7640000581741	-70.067391359839
1.7680000066757	-67.985035400016
1.7719999551773	-66.191543414354
1.7760000228882	-64.667446092079
1.7799999713898	-63.366194829878
1.7840000391006	-62.246268707849
1.7879999876022	-61.275376285671
1.7920000553131	-60.429125793050
1.7960000038147	-59.689085314534
1.7999999523163	-59.041208757823
1.8040000200272	-58.474673526000
1.8079999685287	-57.981059842266
1.8120000362396	-57.553779305959
1.8159999847412	-57.187656949317
1.8200000524521	-56.878632974065
1.8240000009537	-56.623556690700
1.8279999494553	-56.420022562264
1.8320000171661	-56.266259860449
1.8359999656677	-56.161056156402
1.8400000333786	-56.103690590599
1.8439999818802	-56.093900164887
1.8480000495911	-56.131845594632
1.8519999980927	-56.218102996884
1.8559999465942	-56.353638715675
1.8600000143051	-56.539807332455
1.8639999628067	-56.778316339074
1.8680000305176	-57.071182592308
1.8719999790192	-57.420626063164
1.8760000467300	-57.828860677093
1.8799999952316	-58.297707973605
1.8839999437332	-58.827866471866
1.8880000114441	-59.417578374817
1.8919999599457	-60.060303170717
1.8960000276566	-60.740792854155
1.8999999761581	-61.429108108224
1.9040000438690	-62.073249353075
1.9079999923706	-62.594787717156
1.9119999408722	-62.897870847792
1.9160000085831	-62.901496242600
1.9199999570847	-62.582398775516
1.9240000247955	-61.989714878469
1.9279999732971	-61.215085224993
1.9320000410080	-60.350059388777
1.9359999895096	-59.462927569479
1.9400000572205	-58.596306220840
1.9440000057220	-57.773543424087
1.9479999542236	-57.005781392600
1.9520000219345	-56.297150772449
1.9559999704361	-55.648003256116
1.9600000381470	-55.056804087319
1.9639999866486	-54.521185148164
1.9680000543594	-54.038514983528
1.9720000028610	-53.606196152477
1.9759999513626	-53.221819038391
1.9800000190735	-52.883219727402
1.9839999675751	-52.588505326386
1.9880000352859	-52.336053014538
1.9919999837875	-52.124487868224
1.9960000514984	-51.952661479853
2.0000000000000	-51.819627646719
2.0039999485016	-51.724608797000
2.0079998970032	-51.666960290027
2.0120000839233	-51.646115837248
2.0160000324249	-51.661547027080
2.0199999809265	-51.712672286728
2.0239999294281	-51.798767381384
2.0280001163483	-51.918825083678
2.0320000648499	-52.071372303538
2.0360000133514	-52.254210969009
2.0399999618530	-52.464090805634
2.0439999103546	-52.696267995812
2.0480000972748	-52.943959869069
2.0520000457764	-53.197759183048
2.0559999942780	-53.445045248641
2.0599999427795	-53.669691367817
2.0639998912811	-53.852348485179
2.0680000782013	-53.971782805459
2.0720000267029	-54.007477269010
2.0759999752045	-53.943261827618
2.0799999237061	-53.770888314054
2.0840001106262	-53.492088860786
2.0880000591278	-53.118076571577
2.0920000076294	-52.666762562975
2.0959999561310	-52.159002389989
2.0999999046326	-51.615249829037
2.1040000915527	-51.053420393419
2.1080000400543	-50.487992931139
2.1119999885559	-49.929968452990
2.1159999370575	-49.387315494527
2.1199998855591	-48.865559190911
2.1240000724792	-48.368358369100
2.1280000209808	-47.898006486222
2.1319999694824	-47.455817832060
2.1359999179840	-47.042420732849
2.1400001049042	-46.657972942302
2.1440000534058	-46.302317760991
2.1480000019073	-45.975072305471
2.1519999504089	-45.675714015011
2.1559998989105	-45.403614836300
2.1600000858307	-45.158066280146
2.1640000343323	-44.938285263395
2.1679999828339	-44.743410095308
2.1719999313354	-44.572488751844
2.1760001182556	-44.424441438121
2.1800000667572	-44.298035449120
2.1840000152588	-44.191830591025
2.1879999637604	-44.104127097217
2.1919999122620	-44.032893581611
2.1960000991821	-43.975695759801
2.2000000476837	-43.929620799987
2.2039999961853	-43.891192648571
2.2079999446869	-43.856314996596
2.2119998931885	-43.820234097177
2.2160000801086	-43.777550011484
2.2200000286102	-43.722315015716
2.2239999771118	-43.648206371696
2.2279999256134	-43.548837900503
2.2320001125336	-43.418155767534
2.2360000610352	-43.250918655681
2.2400000095367	-43.043180041707
2.2439999580383	-42.792688482748
2.2479999065399	-42.499119961263
2.2520000934601	-42.164083161420
2.2560000419617	-41.790907566977
2.2599999904633	-41.384251359021
2.2639999389648	-40.949626573245
2.2679998874664	-40.492912677140
2.2720000743866	-40.019947286780
2.2760000228882	-39.536216099739
2.2799999713898	-39.046659242961
2.2839999198914	-38.555572826771
2.2880001068115	-38.066588073688
2.2920000553131	-37.582703206646
2.2960000038147	-37.106344065325
2.2999999523163	-36.639437807650
2.3039999008179	-36.183489029205
2.3080000877380	-35.739656981072
2.3120000362396	-35.308822391026
2.3159999847412	-34.891639177439
2.3199999332428	-34.488589321047
2.3239998817444	-34.100020423634
2.3280000686646	-33.726178460680
2.3320000171661	-33.367234768533
2.3359999656677	-33.023305999691
2.3399999141693	-32.694467302004
2.3440001010895	-32.380769764857
2.3480000495911	-32.082245899198
2.3519999980927	-31.798914302434
2.3559999465942	-31.530786582239
2.3599998950958	-31.277870583886
2.3640000820160	-31.040166797830
2.3680000305176	-30.817674173366
2.3719999790192	-30.610385757511
2.3759999275208	-30.418287749290
2.3800001144409	-30.241362561380
2.3840000629425	-30.079580140321
2.3880000114441	-29.932900693694
2.3919999599457	-29.801270677156
2.3959999084473	-29.684623449156
2.4000000953674	-29.582879366911
2.4040000438690	-29.495936497547
2.4079999923706	-29.423683977815
2.4119999408722	-29.365988774935
2.4159998893738	-29.322706082546
2.4200000762939	-29.293671799958
2.4240000247955	-29.278712454941
2.4279999732971	-29.277638490051
2.4319999217987	-29.290257652293
2.4360001087189	-29.316358918181
2.4400000572205	-29.355741276271
2.4440000057220	-29.408189932372
2.4479999542236	-29.473499065961
2.4519999027252	-29.551463052054
2.4560000896454	-29.641892107785
2.4600000381470	-29.744597115433
2.4639999866486	-29.859409921078
2.4679999351501	-29.986177296488
2.4719998836517	-30.124764480764
2.4760000705719	-30.275057779737
2.4800000190735	-30.436971042725
2.4839999675751	-30.610436157326
2.4879999160767	-30.795418841971
2.4920001029968	-30.991906297433
2.4960000514984	-31.199914126919
2.5000000000000	-31.419486666807
2.5039999485016	-31.650689658258
2.5079998970032	-31.893617946590
2.5120000839233	-32.148385459457
2.5160000324249	-32.415129620742
2.5199999809265	-32.693996505355
2.5239999294281	-32.985146633247
2.5280001163483	-33.288743789963
2.5320000648499	-33.604948629831
2.5360000133514	-33.933903386027
2.5399999618530	-34.275727238009
2.5439999103546	-34.630498387210
2.5480000972748	-34.998231531709
2.5520000457764	-35.378869239374
2.5559999942780	-35.772229561442
2.5599999427795	-36.178001948769
2.5639998912811	-36.595688327307
2.5680000782013	-37.024558789010
2.5720000267029	-37.463606934236
2.5759999752045	-37.911472926595
2.5799999237061	-38.366389588049
2.5840001106262	-38.826098130569
2.5880000591278	-39.287786222467
2.5920000076294	-39.748034294913
2.5959999561310	-40.202782493280
2.5999999046326	-40.647350297574
2.6040000915527	-41.076522639625
2.6080000400543	-41.484723196406
2.6119999885559	-41.866290643996
2.6159999370575	-42.215849716370
2.6199998855591	-42.528753820531
2.6240000724792	-42.801528377794
2.6280000209808	-43.032259133040
2.6319999694824	-43.220812581729
2.6359999179840	-43.368879646779
2.6400001049042	-43.479797025527
2.6440000534058	-43.558212436929
2.6480000019073	-43.609648407764
2.6519999504089	-43.640055065941
2.6559998989105	-43.655419670430
2.6600000858307	-43.661453828172
2.6640000343323	-43.663397739065
2.6679999828339	-43.665907443803
2.6719999313354	-43.673021227430
2.6760001182556	-43.688174042942
2.6800000667572	-43.714249377034
2.6840000152588	-43.753646569743
2.6879999637604	-43.808343675251
2.6919999122620	-43.879971493494
2.6960000991821	-43.969873533019
2.7000000476837	-44.079159953624
2.7039999961853	-44.208750753678
2.7079999446869	-44.359409373849
2.7119998931885	-44.531771334870
2.7160000801086	-44.726356663187
2.7200000286102	-44.943580730382
2.7239999771118	-45.183750621647
2.7279999256134	-45.447050363620
2.7320001125336	-45.733520249324
2.7360000610352	-46.043010270594
2.7400000095367	-46.375127821584
2.7439999580383	-46.729151260551
2.7479999065399	-47.103933104632
2.7520000934601	-47.497747367606
2.7560000419617	-47.908123872545
2.7599999904633	-48.331633525202
2.7639999389648	-48.763643350050
2.7679998874664	-49.198081658470
2.7720000743866	-49.627215208998
2.7760000228882	-50.041570369973
2.7799999713898	-50.430062181330
2.7839999198914	-50.780486194586
2.7880001068115	-51.080450209086
2.7920000553131	-51.318738355601
2.7960000038147	-51.486897410300
2.7999999523163	-51.580632259828
2.8039999008179	-51.600609157852
2.8080000877380	-51.552322725933
2.8120000362396	-51.445123015061
2.8159999847412	-51.290720421415
2.8199999332428	-51.101627182155
2.8239998817444	-50.889901221729
2.8280000686646	-50.666320788606
2.8320000171661	-50.440009998072
2.8359999656677	-50.218364246640
2.8399999141693	-50.007188504025
2.8440001010895	-49.810921483807
2.8480000495911	-49.632890523191
2.8519999980927	-49.475541081159
2.8559999465942	-49.340648018972
2.8599998950958	-49.229487341164
2.8640000820160	-49.142965038808
2.8680000305176	-49.081729011450
2.8719999790192	-49.046244172367
2.8759999275208	-49.036852210233
2.8800001144409	-49.053823532162
2.8840000629425	-49.097376677395
2.8880000114441	-49.167710751166
2.8919999599457	-49.265007968983
2.8959999084473	-49.389446865038
2.9000000953674	-49.541187196367
2.9040000438690	-49.720366132717
2.9079999923706	-49.927066458247
2.9119999408722	-50.161280912598
2.9159998893738	-50.422852769130
2.9200000762939	-50.711394068266
2.9240000247955	-51.026166480354
2.9279999732971	-51.365926947038
2.9319999217987	-51.728704190974
2.9360001087189	-52.111520606264
2.9400000572205	-52.510024079132
2.9440000057220	-52.918059837287
2.9479999542236	-53.327193873044
2.9519999027252	-53.726304362606
2.9560000896454	-54.101379029424
2.9600000381470	-54.435807306003
2.9639999866486	-54.711448181111
2.9679999351501	-54.910660937470
2.9719998836517	-55.019103938697
2.9760000705719	-55.028600440938
2.9800000190735	-54.938984175858
2.9839999675751	-54.758150846951
2.9879999160767	-54.500244367060
2.9920001029968	-54.182822313585
2.9960000514984	-53.824032633755
3.0000000000000	-53.440548963191
3.0039999485016	-53.046472238366
3.0079998970032	-52.653010299981
3.0120000839233	-52.268667590254
3.0160000324249	-51.899656686186
3.0199999809265	-51.550365717526
3.0239999294281	-51.223793594210
3.0280001163483	-50.921919151474
3.0320000648499	-50.645985702643
3.0360000133514	-50.396721473006
3.0399999618530	-50.174502237407
3.0439999103546	-49.979467791932
3.0480000972748	-49.811611019686
3.0520000457764	-49.670832274784
3.0559999942780	-49.556984993083
3.0599999427795	-49.469899659595
3.0639998912811	-49.409403292419
3.0680000782013	-49.375325849478
3.0720000267029	-49.367504937716
3.0759999752045	-49.385776681681
3.0799999237061	-49.429961718681
3.0840001106262	-49.499851241458
3.0880000591278	-49.595174007592
3.0920000076294	-49.715557008747
3.0959999561310	-49.860463734420
3.0999999046326	-50.029134686169
3.1040000915527	-50.220479465824
3.1080000400543	-50.432949613565
3.1119999885559	-50.664392742869
3.1159999370575	-50.911840080104
3.1199998855591	-51.171287295228
3.1240000724792	-51.437438426438
3.1280000209808	-51.703456190631
3.1319999694824	-51.960782295959
3.1359999179840	-52.199116908652
3.1400001049042	-52.406674771845
3.1440000534058	-52.570854710768
3.1480000019073	-52.679363289896
3.1519999504089	-52.721731976267
3.1559998989105	-52.690903940590
3.1600000858307	-52.584474019931
3.1640000343323	-52.405125151367
3.1679999828339	-52.160124627021
3.1719999313354	-51.860060382439
3.1760001182556	-51.517233681892
3.1800000667572	-51.144166203896
3.1840000152588	-50.752493982632
3.1879999637604	-50.352338366416
3.1919999122620	-49.952063434277
3.1960000991821	-49.558309306063
3.2000000476837	-49.176182244294
3.2039999961853	-48.809496852737
3.2079999446869	-48.461034357542
3.2119998931885	-48.132757154423
3.2160000801086	-47.826016032347
3.2200000286102	-47.541687758804
3.2239999771118	-47.280315697753
3.2279999256134	-47.042176023954
3.2320001125336	-46.827373916705
3.2360000610352	-46.635867944987
3.2400000095367	-46.467524792888
3.2439999580383	-46.322128312507
3.2479999065399	-46.199401650465
