#Parameters = {H=1.6; IL=10.7; IW=0.2; L=37.93; LS=75.85; ML=14.31; MT=0.035; MW=2.5; W=28.61; WS=57.23; k=6.26}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
2.0000000000000	-0.51113341709015
2.0039999485016	-0.50525803401301
2.0079998970032	-0.50167346476137
2.0120000839233	-0.50057285578634
2.0160000324249	-0.50209072054678
2.0199999809265	-0.50630130457634
2.0239999294281	-0.51321894986541
2.0280001163483	-0.52279712021499
2.0320000648499	-0.53493110849033
2.0360000133514	-0.54945737828182
2.0399999618530	-0.56616028875239
2.0439999103546	-0.58477407621181
2.0480000972748	-0.60498919770146
2.0520000457764	-0.62645704365539
2.0559999942780	-0.64880276953199
2.0599999427795	-0.67162752741953
2.0639998912811	-0.69452162361834
2.0680000782013	-0.71707595093177
2.0720000267029	-0.73889045759308
2.0759999752045	-0.75958525754608
2.0799999237061	-0.77881176470236
2.0840001106262	-0.79626803998020
2.0880000591278	-0.81169831640133
2.0920000076294	-0.82491297155757
2.0959999561310	-0.83578282103976
2.0999999046326	-0.84425337568665
2.1040000915527	-0.85034261515993
2.1080000400543	-0.85413787658915
2.1119999885559	-0.85579880257008
2.1159999370575	-0.85555243941056
2.1199998855591	-0.85368111585737
2.1240000724792	-0.85051714112878
2.1280000209808	-0.84643428660869
2.1319999694824	-0.84183955653447
2.1359999179840	-0.83715593484850
2.1400001049042	-0.83281875025576
2.1440000534058	-0.82925983185404
2.1480000019073	-0.82690254164886
2.1519999504089	-0.82614649914443
2.1559998989105	-0.82736798197937
2.1600000858307	-0.83090617052235
2.1640000343323	-0.83705705790772
2.1679999828339	-0.84606975071719
2.1719999313354	-0.85814763556203
2.1760001182556	-0.87343586224422
2.1800000667572	-0.89202441554484
2.1840000152588	-0.91394502058600
2.1879999637604	-0.93917549287985
2.1919999122620	-0.96763040332817
2.1960000991821	-0.99917862109841
2.2000000476837	-1.0336282072834
2.2039999961853	-1.0707447489054
2.2079999446869	-1.1102503653297
2.2119998931885	-1.1518306480999
2.2160000801086	-1.1951437016724
2.2200000286102	-1.2398283918784
2.2239999771118	-1.2855168889900
2.2279999256134	-1.3318440620394
2.2320001125336	-1.3784591058126
2.2360000610352	-1.4250415922872
2.2400000095367	-1.4713115917019
2.2439999580383	-1.5170422302577
2.2479999065399	-1.5620752586924
2.2520000934601	-1.6063272887142
2.2560000419617	-1.6497999089288
2.2599999904633	-1.6925898824854
2.2639999389648	-1.7348906438472
2.2679998874664	-1.7769948641996
2.2720000743866	-1.8192996150508
2.2760000228882	-1.8622965309405
